2024-05-11T11:32:45.895987 custom memcached AVG QPS: 8100.0
2024-05-11T11:32:46.008861 custom memcached AVG QPS: 7652.6
2024-05-11T11:32:46.116727 custom memcached AVG QPS: 7226.0
2024-05-11T11:32:46.223936 custom memcached AVG QPS: 6990.4
2024-05-11T11:32:46.331280 custom memcached AVG QPS: 6914.2
2024-05-11T11:32:46.439601 custom memcached AVG QPS: 6949.6
2024-05-11T11:32:46.548691 custom memcached AVG QPS: 6936.6
2024-05-11T11:32:46.656268 custom memcached AVG QPS: 6927.0
2024-05-11T11:32:46.763651 custom memcached AVG QPS: 6914.4
2024-05-11T11:32:46.870501 custom memcached AVG QPS: 6938.4
2024-05-11T11:32:46.977767 custom memcached AVG QPS: 6914.6
2024-05-11T11:32:47.085468 custom memcached AVG QPS: 6941.2
2024-05-11T11:32:47.193387 custom memcached AVG QPS: 6916.6
2024-05-11T11:32:47.301125 custom memcached AVG QPS: 6927.4
2024-05-11T11:32:47.408718 custom memcached AVG QPS: 6960.6
2024-05-11T11:32:47.515882 custom memcached AVG QPS: 6957.6
2024-05-11T11:32:47.624152 custom memcached AVG QPS: 6888.2
2024-05-11T11:32:47.732767 custom memcached AVG QPS: 6898.0
2024-05-11T11:32:47.840871 custom memcached AVG QPS: 6884.6
2024-05-11T11:32:47.948253 custom memcached AVG QPS: 6871.4
2024-05-11T11:32:48.056256 custom memcached AVG QPS: 6882.4
2024-05-11T11:32:48.163831 custom memcached AVG QPS: 6884.8
2024-05-11T11:32:48.273097 custom memcached AVG QPS: 6904.0
2024-05-11T11:32:48.380562 custom memcached AVG QPS: 6935.8
2024-05-11T11:32:48.488880 custom memcached AVG QPS: 6946.4
2024-05-11T11:32:48.595991 custom memcached AVG QPS: 6944.2
2024-05-11T11:32:48.703652 custom memcached AVG QPS: 6951.4
2024-05-11T11:32:48.810549 custom memcached AVG QPS: 6909.4
2024-05-11T11:32:48.917759 custom memcached AVG QPS: 6909.4
2024-05-11T11:32:49.025197 custom memcached AVG QPS: 6881.6
2024-05-11T11:32:49.132845 custom memcached AVG QPS: 6878.8
2024-05-11T11:32:49.241145 custom memcached AVG QPS: 6886.4
2024-05-11T11:32:49.351909 custom memcached AVG QPS: 6877.6
2024-05-11T11:32:49.460242 custom memcached AVG QPS: 6942.4
2024-05-11T11:32:49.568399 custom memcached AVG QPS: 6977.0
2024-05-11T11:32:49.675580 custom memcached AVG QPS: 6956.0
2024-05-11T11:32:49.783763 custom memcached AVG QPS: 6907.6
2024-05-11T11:32:49.892425 custom memcached AVG QPS: 6952.0
2024-05-11T11:32:50.000076 custom memcached AVG QPS: 6909.2
2024-05-11T11:32:50.108156 custom memcached AVG QPS: 6906.2
2024-05-11T11:32:50.216216 custom memcached AVG QPS: 6906.2
2024-05-11T11:32:50.325063 custom memcached AVG QPS: 6913.6
2024-05-11T11:32:50.432779 custom memcached AVG QPS: 6932.8
2024-05-11T11:32:50.541541 custom memcached AVG QPS: 6916.0
2024-05-11T11:32:50.649695 custom memcached AVG QPS: 6913.2
2024-05-11T11:32:50.757118 custom memcached AVG QPS: 6908.8
2024-05-11T11:32:50.864439 custom memcached AVG QPS: 6919.2
2024-05-11T11:32:50.971872 custom memcached AVG QPS: 6886.0
2024-05-11T11:32:51.078366 custom memcached AVG QPS: 6819.6
2024-05-11T11:32:51.185455 custom memcached AVG QPS: 6820.4
2024-05-11T11:32:51.293161 custom memcached AVG QPS: 6859.4
2024-05-11T11:32:51.401456 custom memcached AVG QPS: 6890.8
2024-05-11T11:32:51.510141 custom memcached AVG QPS: 6875.8
2024-05-11T11:32:51.618141 custom memcached AVG QPS: 6947.2
2024-05-11T11:32:51.725616 custom memcached AVG QPS: 6923.6
2024-05-11T11:32:51.832901 custom memcached AVG QPS: 6910.8
2024-05-11T11:32:51.940394 custom memcached AVG QPS: 6887.2
2024-05-11T11:32:52.048003 custom memcached AVG QPS: 6923.4
2024-05-11T11:32:52.155843 custom memcached AVG QPS: 6875.6
2024-05-11T11:32:52.263753 custom memcached AVG QPS: 6893.8
