2024-05-06T21:23:04.697551 update_cores blackscholes [2,3]
2024-05-06T21:23:04.717544 update_cores memcached [0,1]
2024-05-06T21:23:04.994248 update_cores memcached [0]
2024-05-06T21:23:05.025534 update_cores blackscholes [1,2,3]
2024-05-06T21:23:05.311118 update_cores blackscholes [2,3]
2024-05-06T21:23:05.334168 update_cores memcached [0,1]
2024-05-06T21:23:05.605234 update_cores memcached [0]
2024-05-06T21:23:05.630745 update_cores blackscholes [1,2,3]
2024-05-06T21:23:05.918050 update_cores blackscholes [2,3]
2024-05-06T21:23:05.935287 update_cores memcached [0,1]
2024-05-06T21:23:06.207196 update_cores memcached [0]
2024-05-06T21:23:06.229638 update_cores blackscholes [1,2,3]
2024-05-06T21:23:06.515630 update_cores blackscholes [2,3]
2024-05-06T21:23:06.534241 update_cores memcached [0,1]
2024-05-06T21:23:07.057977 update_cores memcached [0]
2024-05-06T21:23:07.082682 update_cores blackscholes [1,2,3]
2024-05-06T21:23:07.366901 update_cores blackscholes [2,3]
2024-05-06T21:23:07.385659 update_cores memcached [0,1]
2024-05-06T21:23:07.659818 update_cores memcached [0]
2024-05-06T21:23:07.687868 update_cores blackscholes [1,2,3]
2024-05-06T21:23:07.974434 update_cores blackscholes [2,3]
2024-05-06T21:23:07.997333 update_cores memcached [0,1]
2024-05-06T21:23:08.270792 update_cores memcached [0]
2024-05-06T21:23:08.297367 update_cores blackscholes [1,2,3]
2024-05-06T21:23:08.589084 update_cores blackscholes [2,3]
2024-05-06T21:23:08.606739 update_cores memcached [0,1]
2024-05-06T21:23:08.877803 update_cores memcached [0]
2024-05-06T21:23:08.905147 update_cores blackscholes [1,2,3]
2024-05-06T21:23:09.204340 update_cores blackscholes [2,3]
2024-05-06T21:23:09.221574 update_cores memcached [0,1]
2024-05-06T21:23:09.494271 update_cores memcached [0]
2024-05-06T21:23:09.523871 update_cores blackscholes [1,2,3]
2024-05-06T21:23:09.804697 update_cores blackscholes [2,3]
2024-05-06T21:23:09.825935 update_cores memcached [0,1]
2024-05-06T21:23:10.099173 update_cores memcached [0]
2024-05-06T21:23:10.131933 update_cores blackscholes [1,2,3]
2024-05-06T21:23:10.419726 update_cores blackscholes [2,3]
2024-05-06T21:23:10.438306 update_cores memcached [0,1]
2024-05-06T21:23:10.965492 update_cores memcached [0]
2024-05-06T21:23:10.990979 update_cores blackscholes [1,2,3]
2024-05-06T21:23:11.280684 update_cores blackscholes [2,3]
2024-05-06T21:23:11.301665 update_cores memcached [0,1]
2024-05-06T21:23:11.830369 update_cores memcached [0]
2024-05-06T21:23:11.859835 update_cores blackscholes [1,2,3]
2024-05-06T21:23:12.142014 update_cores blackscholes [2,3]
2024-05-06T21:23:12.159413 update_cores memcached [0,1]
2024-05-06T21:23:12.429484 update_cores memcached [0]
2024-05-06T21:23:12.454427 update_cores blackscholes [1,2,3]
2024-05-06T21:23:21.644228 end blackscholes
2024-05-06T21:23:21.968299 start canneal [1,2,3] 3
2024-05-06T21:24:14.929535 update_cores canneal [2,3]
2024-05-06T21:24:14.949098 update_cores memcached [0,1]
2024-05-06T21:24:15.222408 update_cores memcached [0]
2024-05-06T21:24:15.256529 update_cores canneal [1,2,3]
2024-05-06T21:24:15.543927 update_cores canneal [2,3]
2024-05-06T21:24:15.562816 update_cores memcached [0,1]
2024-05-06T21:24:15.836650 update_cores memcached [0]
2024-05-06T21:24:15.864268 update_cores canneal [1,2,3]
2024-05-06T21:24:16.146367 update_cores canneal [2,3]
2024-05-06T21:24:16.165182 update_cores memcached [0,1]
2024-05-06T21:24:16.437164 update_cores memcached [0]
2024-05-06T21:24:16.465740 update_cores canneal [1,2,3]
2024-05-06T21:24:16.753270 update_cores canneal [2,3]
2024-05-06T21:24:16.773384 update_cores memcached [0,1]
2024-05-06T21:24:17.298451 update_cores memcached [0]
2024-05-06T21:24:17.326303 update_cores canneal [1,2,3]
2024-05-06T21:24:17.607119 update_cores canneal [2,3]
2024-05-06T21:24:17.624957 update_cores memcached [0,1]
2024-05-06T21:24:17.897885 update_cores memcached [0]
2024-05-06T21:24:17.924792 update_cores canneal [1,2,3]
2024-05-06T21:24:18.204926 update_cores canneal [2,3]
2024-05-06T21:24:18.222503 update_cores memcached [0,1]
2024-05-06T21:24:18.496443 update_cores memcached [0]
2024-05-06T21:24:18.525452 update_cores canneal [1,2,3]
2024-05-06T21:24:18.810911 update_cores canneal [2,3]
2024-05-06T21:24:18.829765 update_cores memcached [0,1]
2024-05-06T21:24:19.103035 update_cores memcached [0]
2024-05-06T21:24:19.130275 update_cores canneal [1,2,3]
2024-05-06T21:24:19.410035 update_cores canneal [2,3]
2024-05-06T21:24:19.425519 update_cores memcached [0,1]
2024-05-06T21:24:19.697049 update_cores memcached [0]
2024-05-06T21:24:19.720458 update_cores canneal [1,2,3]
2024-05-06T21:24:20.002508 update_cores canneal [2,3]
2024-05-06T21:24:20.019327 update_cores memcached [0,1]
2024-05-06T21:24:20.289849 update_cores memcached [0]
2024-05-06T21:24:20.321219 update_cores canneal [1,2,3]
2024-05-06T21:24:20.606839 update_cores canneal [2,3]
2024-05-06T21:24:20.624975 update_cores memcached [0,1]
2024-05-06T21:24:20.901590 update_cores memcached [0]
2024-05-06T21:24:20.929413 update_cores canneal [1,2,3]
2024-05-06T21:24:21.210790 update_cores canneal [2,3]
2024-05-06T21:24:21.228997 update_cores memcached [0,1]
2024-05-06T21:24:21.501089 update_cores memcached [0]
2024-05-06T21:24:21.530749 update_cores canneal [1,2,3]
2024-05-06T21:24:21.815279 update_cores canneal [2,3]
2024-05-06T21:24:21.833913 update_cores memcached [0,1]
2024-05-06T21:24:22.107490 update_cores memcached [0]
2024-05-06T21:24:22.133594 update_cores canneal [1,2,3]
2024-05-06T21:24:22.417669 update_cores canneal [2,3]
2024-05-06T21:24:22.437721 update_cores memcached [0,1]
2024-05-06T21:24:22.710420 update_cores memcached [0]
2024-05-06T21:24:22.737600 update_cores canneal [1,2,3]
2024-05-06T21:24:23.024390 update_cores canneal [2,3]
2024-05-06T21:24:23.041905 update_cores memcached [0,1]
2024-05-06T21:24:23.566426 update_cores memcached [0]
2024-05-06T21:24:23.591964 update_cores canneal [1,2,3]
2024-05-06T21:24:23.873572 update_cores canneal [2,3]
2024-05-06T21:24:23.889976 update_cores memcached [0,1]
2024-05-06T21:24:24.161461 update_cores memcached [0]
2024-05-06T21:24:24.188483 update_cores canneal [1,2,3]
2024-05-06T21:24:24.468429 update_cores canneal [2,3]
2024-05-06T21:24:24.484391 update_cores memcached [0,1]
2024-05-06T21:24:24.752971 update_cores memcached [0]
2024-05-06T21:24:24.775396 update_cores canneal [1,2,3]
2024-05-06T21:24:44.862420 update_cores canneal [2,3]
2024-05-06T21:24:44.880030 update_cores memcached [0,1]
2024-05-06T21:24:45.154245 update_cores memcached [0]
